Title,URL,Managed By,Small Description,CAGR time period,CAGR rate,Volatility,Overview,Minimum investment amount,Launch Date,Past performance: Small Case,Past performance: Equity,Past performance: FD,Past performance: Inflation,CAGR: Small Case,CAGR: Equity,CAGR: FD,CAGR: Inflation,Number of Smallcases managed by Manager,About manager
Mid Cap Growth Strategy,"https://www.smallcase.com/smallcase/VLSMO_0027
",Value Stocks,This Strategy has quality mid cap stocks based on proprietary predictive analytics model.,2Y,31.92,Medium ,"This Strategy identifies the best quality Midcap stocks focusing on parameter, Quarterly EPS and Sales growth. It eliminates risk parameters like DE, Volume and Pledge to get better returns.",500000,16/12/2016,689.8,210.97,135.87,128.01,44.20%,14.97%,5.90%,4.72%,0,"Mr Shailesh Saraf, MD-DEPL & Founder -Value Stocks, has been in the Stock Market for 28 years. His App Value Stocks aims at making investing delightfully simple"
FinEdge360 All Weather ,"https://www.smallcase.com/smallcase/FEGMO_0003
",FinEdge360,Fundamentally strong companies with asset allocation for a moderate investor.,2Y,4.07,Medium ,"It is important to calculate how much you must save for each goal and equally important to follow an appropriate asset allocation strategy, that is the bifurcation of your investments into various asset classes.The asset allocation strategy will differ based on age, goals, time horizon of the goals and risk appetite of an investor.This smallcase targets those investors who are looking to invest for longterm goals with a time horizon of atleast 5 years.",40665,03/02/2017,192.1,196.45,134.66,127.36,13.54%,13.82%,5.87%,4.75%,0,"Monica Malkani has 19+ years of work experience in the corporate world with considerable exposure in the finance, banking and insurance industries. She received her Registered Investment Advisor (RIA) license from SEBI in November 2017 and has been assisting individuals and families in their financial planning and wealth creation journey since then. She is also a Certified Financial Planner (CFPCM) and have been running a company, FinEdge Education (now FinEdge360), since 2014 where she teaches subjects related to personal finance, wealth management and stock markets in educational institutions and conducts financial planning-related workshops for corporates and other forums. She has provided training to over 1700 individuals, including over 140 corporate employees so far. She started her career in 1995 in Mumbai with Skindia Finance, a leading brokerage house specializing in Global Depositary Receipts and thereafter moved to Deutsche Bank in 2001, serving as the Relationship Manager for their Indian and overseas corporate clients. She has also secured a Masters in Commerce from the University of Pune and an MBA in Finance from the Institute of Management Education, Pune."
AarnA Growth,"https://www.smallcase.com/smallcase/AAWEMO_0002
",Aarna Wealth,"AarnA Growth is Aarna’s model stock portfolio, comprising of fundamentally strong stocks in uptrend.",2Y,20.02,Medium ,"AarnA Growth is Aarna’s model stock portfolio, comprising of fundamentally strong stocks that are in growth momentum. AarnA’s research team picks these stocks, using their proprietary fundamental model combined with technical analysis. These are relatively short-term stocks with potential to out-perform. A sound trade management system balances risk and return ratio of this portfolio by booking out partial profits at 25% gain and limiting the losses to not more than 10% for each of the stocks. Though strong stocks are carefully picked and continuously monitored, as with every portfolio, during market downtrend, please expect around 10% or more drawdown at portfolio level. This smallcase is reviewed on daily basis and rebalanced periodically as need be.",34726,06/02/2017,334.22,195.11,134.58,127.32,26.48%,13.69%,5.87%,4.75%,0,Vijaya has 10+ yrs of investing & trading in equity markets. She worked with a research company in different capacities starting from analyst to lead consultant.
Omni Belief Compliant Strategy (BCS-I),"https://www.smallcase.com/smallcase/OMNNM_0005
",Omniscience Capital,A SuperNormal Portfolio of Belief Compliant and Socially Responsible investing strategy,2Y,10.32,Medium ,"A SuperNormal portfolio offering socially responsible investing, which would restrict itself to investments in industries which would be considered conscientious, and refraining from investments considered immoral, including alcohol, tobacco, gambling, leisure/media and pork products, as well as companies that charge interest for profit.",100000,06/02/2017,217.4,195.11,134.58,127.32,16.32%,13.69%,5.87%,4.75%,0,"OmniScience (IITians | 40+yrs exp. | Global Equity Specialist) uses Scientific Investing to create SuperNormal Portfolios to ‘Enhance Safety, Enhance Returns’"
NIFTY DIAMONDS,"https://www.smallcase.com/smallcase/PVRAMO_0001
",PVR Advisory,Collection of a few companies in NIFTY50 Index & Tactical Allocation to GOLD.,1Y,6.7,Medium ,"Collection of very high quality companies in NIFTY 50 possessing deep competitive moats and having potential to remain in nifty50 in next 7-10 years.Few Important Points about Nifty Diamonds Portfolio:Currently given a Partial Exposure to Gold &amp; we may rebalance or exit from it at appropriate time.Rebalance/Changes in portfolio will occur on last day of every quarter &amp; I prefer to do it only if it's needed.I advice to invest in this Portfolio only if you have an investment horizon of more than 4-5 years.Our Minimum recommended investment size of the portfolio will be more than 3 Lakhs or an SIP investments of more than 20K per month, though it's not mandatory.",28895,13/02/2017,250.89,195.02,134.41,127.24,19.70%,13.74%,5.86%,4.75%,0,"Mr.Penagaluru Venkata Raviteja(PVR) is one among the 1350 SEBI Registered Investment Advisors in India. He is Alumni of Entrepreneurship Development Institute of India, Ahmedabad. Completed his PGDM in Business Entrepreneurship. After his Post Graduation he started PVR Advisory in 2015. He is a pioneer in financial planning and developing innovative asset allocation strategies which can protect the wealth and provide a decent returns."
Fundastick,"https://www.smallcase.com/smallcase/FUSTMO_0001
",Fundastick,Fundamentally strong companies having sustainable business models and/or competitive moats. ,1Y,2.58,Medium ,"We call our portfolio approach ""The Fundastick Way""The Fundastick Way will hold up to 15-20 stocks at any given point in time. These stocks would be selected using a bottom-up approach with emphasis on fundamental factors such as the value add of their products/services, financial health, quality of operations and the level of industry competition.Here, the basic thesis is to invest in businesses, which generate returns in excess of the cost of capital, however doing so at a reasonable entry-price point. The cost of capital takes in account the prevailing risk free interest rates, level of inflation, risks of creditworthiness &amp; liquidity for investing in private sector enterprises, and the risks associated with business ownership in general. Therefore companies which consistently deliver returns beyond the cost of capital are naturally better suited to provide a healthy risk-adjusted return and a scope for wealth creation. Investing in such companies over a 2-5 year horizon has a good compounding effect on the portfolio.However, a significant portion of the Fundastick Way strategy also focuses on the price paid for each investment. The valuation at which stocks are bought play a huge role in whether the business returns get translated into investment returns. Afterall, an extraordinary business bought at an ordinary price does little good to achieving superior investment returns.",27268,17/02/2017,272.23,194.66,134.31,127.19,21.70%,13.73%,5.86%,4.75%,0,"Nevill is a qualified Chartered Accountant from India, has cleared all three levels of the CFA Program (US) and holds an MBA degree from University of Alberta, Canada. His professional background is in the field of equity research and accounting, andhe has been actively managing his family monies since 2012.Through Fundastick, Nevill plans to leverage his equity research work &amp;portfolio management experience for the benefit of several equity investors. Fundastick aims to cater to all those who possess an eagerness and risktolerance for equities, however, are constrained to participate due to lack ofresearching capabilities or limited access to information &amp; analytical tools, orsimply put, availability of enough time on regular basis to keep track ofinvestments."
high growth stocks,"https://www.smallcase.com/smallcase/SUSHMO_0003
",SUMAN SHANDIL,these stocks shown a high growth in few months and have potential to give a good return in future.,1Y,12.4,High ,"these stocks are from 3 sectors (banking, telecom services and wood industries)",7809,23/02/2017,143.67,192.09,134.17,127.11,7.39%,13.48%,5.86%,4.76%,0,"Suman Shandil is a reputed Individual investment adviser practicing advisory to clients based on the financial goals and risk profiling . She always try to make their clients understand the nature of investment and risk involved before hand. She is based in Delhi . She always try to educate investors about the need of financial goal setting, role of savings and investments for financial goals ."
ViniyogIndia ⚖ Balanced,"https://www.smallcase.com/smallcase/VIYIMO_0002
",ViniyogIndia,"Multifactor, multi-asset core portfolio for moderate investors",1Y,32.65,Low ,"ViniyogIndia offers three Core Portfolios based on Investor Risk Profile; - this portfolio is for Moderate investors.The Core Portfolios are based on Multifactor, Multi-asset Regime-Switching Model and they offer a calibrated exposure to risk vs rewards.Research has shown that factor performance tends to be cyclical, with different factors, such as value, momentum, etc. performing differently across market regimes. Portfolio returns therefore can be optimized by modelling market states &amp; controlling factor exposure based on regimes.Market states/regimes are modelled using a combination of proprietary + macro indicators (and also using statistical models such as Hidden Markov Model). This is combined with past performance to dynamically control factor exposures over market regimes.As individual stock returns tend to be positively correlated, further portfolio diversification is achieved using assets negatively correlated to equities, such as bonds (G-secs) and Gold, with asset allocation controlled based on market states.The moderate version of the portfolio dynamically controls asset allocation &amp; factor exposures based on market regimes, with peak equity exposure up to 80% while other assets make up for the rest.Portfolio is balanced once every month to keep the percentage turnover low.",109514,02/03/2010,2665.95,342.28,235.06,212.33,31.54%,10.66%,7.29%,6.39%,0,"Biswarup, founder of ViniyogIndia.com, is a SEBI registered investment advisor and CFA (ICFAI, 2014). He holds a Bachelors in Engineering from Jadavpur University (University Gold Medalist, 1999) and Masters from University of London, UCL (Distinction, 2003). Biswarup has extensive experience in technology with deep interest in Data Science &amp; Machine Learning. He worked nearly two decades in premier Tech. &amp; Consulting companies, including IBM &amp; Accenture. He has 10+ years exposure to the Financial Services Sector including around 5 years in research. Biswarup started ViniyogIndia.com as quant based fintech start-up in 2016, initially working part-time, and then full-time 2017 onwards.	"
ViniyogIndia ☔ All Weather,"https://www.smallcase.com/smallcase/VIYIMO_0003
",ViniyogIndia,"Multifactor, multi-asset portfolio for conservative investors",1Y,26.94,Low ,"ViniyogIndia offers three Core Portfolios based on Investor Risk Profile; - this portfolio is for Conservative investors.The Core Portfolios are based on Multifactor, Multi-asset Regime-Switching Model and they offer a calibrated exposure to risk vs rewards.Research has shown that factor performance tends to be cyclical, with different factors, such as value, momentum, etc. performing differently across market regimes. Portfolio returns therefore can be optimized by modelling market states &amp; controlling factor exposure based on regimes.Market states/regimes are modelled using a combination of proprietary + macro indicators (and also using statistical models such as Hidden Markov Model). This is combined with past performance to dynamically control factor exposures over market regimes.As individual stock returns tend to be positively correlated, further portfolio diversification is achieved using assets negatively correlated to equities, such as bonds (G-secs) and Gold, with asset allocation controlled based on market states.The conservative portfolio uses balanced asset allocation, with equity exposure varying between 60% and 40% while other assets, i.e. bond (G-secs) and gold combined, make up for the rest.Portfolio is balanced once every month to keep the percentage turnover low.",127125,02/03/2010,1599.49,342.28,235.06,212.33,26.05%,10.66%,7.29%,6.39%,0,"Biswarup, founder of ViniyogIndia.com, is a SEBI registered investment advisor and CFA (ICFAI, 2014). He holds a Bachelors in Engineering from Jadavpur University (University Gold Medalist, 1999) and Masters from University of London, UCL (Distinction, 2003). Biswarup has extensive experience in technology with deep interest in Data Science &amp; Machine Learning. He worked nearly two decades in premier Tech. &amp; Consulting companies, including IBM &amp; Accenture. He has 10+ years exposure to the Financial Services Sector including around 5 years in research. Biswarup started ViniyogIndia.com as quant based fintech start-up in 2016, initially working part-time, and then full-time 2017 onwards.	"
PEARL - Largecap Growth Strategy by JamaWealth.com,"https://www.smallcase.com/smallcase/SGTPMO_0001
",Jama Wealth Advisory,"Top 100 cos | Hi ROE, ROA, Growth, Low Debt, Mkt Share | Prime Equities ~ Algo Research ~ Largecaps",1Y,14.93,Medium ,"This small case picks large-cap equities that meet stringent criteria on balance sheet strength and great growth track record/prospects. Such companies are cash-generating machines and offer huge potential to create wealth. We are nimble and rebalance the portfolio every quarter.The universe is the publicly traded Largecap stocks listed in Indian exchanges. This is usually the top 100 companies ranked by market cap in any given quarter. We focus on large caps to ensure stocks are proven and scaled companies with a market cap of more than 25,000 crores, organization systems, culture, and people to scale further.We follow an Investment Philosophy called Roots &amp; Wings. Roots aim to preserve wealth by selecting companies with low debt, consistent ROE/ROCE &amp; promoter integrity. Wings aim to increase prosperity by identifying growing companies (sales/profit/cash flows).Techniques:Our research team applies Quantitative techniques to all listed companies. Since we run into thousands of parameters per company, deploying ML techniques become unavoidableThe fundamental data is based on the company's quarterly results and annual reports that are published.The Quality filter is then applied to ensure that companies have a strong corporate governance track record.Backtests since Feb 2005 to March 2021: 23.4% vs Nifty50 Total Returns Index (TRI) at 11.1%.Warning: backtests are academic and are neither a predictor nor a guarantee of future returns.",250000,18/03/2021,309.11,160.96,129.61,115.77,32.78%,12.53%,6.64%,3.70%,0,"Ram Medury and Manoj Trivedi are the people behind the advisory.Ram is the Founder of JamaWealth.com a SEBI Registered Investment Advisory company. Jamā Wealth helps preserve &amp; grow wealth with quality, unbiased investment advice powered by quantitative strategies and algorithms.Ram holds an MBA from IIM Bangalore and a BS in Computer Science. He has a 23-year career experience spanning technology, finance (tech-fin) industries at Infosys, ICICI Group &amp; Magma Fincorp.Manoj Trivedi heads Research at Jama Wealth. He is a member of The Institute of Chartered Accountants of India and holds an MBA specializing in Finance &amp; Strategy from IIM, Bangalore. He also holds an Advanced Diploma in Finance from ICFAI, is a member of the ICWAI. Manoj is an ideal blend of academics, services, professional practice, and Entrepreneurship, with more than 30 years of experience spanning Investment Advisory, Management Consulting, Outsourcing, and Offshoring of IT services, Project Finance, and FinTech.Jama Wealth has been featured as one of the 10 best Wealth Management startups 2019, in India by Silicon India."
CJ: RP,"https://www.smallcase.com/smallcase/EHANM_0007
",Ethical Advisers,.,1Y,15.66,Medium ,.,174550,22/03/2017,245.81,190.16,133.51,126.78,19.64%,13.46%,5.84%,4.77%,0,"Dick Hosy Mody, a 30 year veteran in the Indian equity markets. Dick has a solid educational background,having held All India Merit Ranks in India Chartered Accountancy Exams,&amp; is a qualified Company Secretary).Over the past 3 decades, he has gained rich investing experience while based in global financial centres,including Mumbai, London, New York, San Francisco and Florida with top Global Investment banks including JP Morgan, Morgan Stanley, Deutsche and Raymond James, largely in his capacity as Head of Sales / Executive Director-North America,UK regions. His endeavour is to thus bring to clients; his extensive experience and knowledge, gained while personally acting as an advisor to some of the most respected Institutional asset managers across India, the US, UK, Asia and the Middle East."
MWG Compounder,"https://www.smallcase.com/smallcase/MWGMO_0003
",My Wealth Guide,Long-Term Strategy to Identifying Wealth Compounders. Multi-factor Quantitative strategy.,1Y,16.3,Low ,"MWG Compounder is a long only directional strategy that aims to identifies potential Compounders and generate Alpha. We believe if you manage the downside, the upside will take care of itself.Invests in larger, liquid stocks with a max weightage of 10% per stockQuantitative: Codified our principles into a systematic factor-based model that eliminates human biases and subjectivityLong Term Strategy: Low Churn and longer average holding periodBottom-Up Approach: Sector and Market Cap agnosticStrong Risk Management: Position sizing ensures outperformance due to lower volatility while maximizing returnsDiversified: Portfolio of upto 40 liquid stocks from the Top 700 stocks listed in NSETrack Record: Back tested from 2003 across various market and economic cycles.Returns: CAGR from 2003 - 27% vs 17% for NSE 500. Max Drawdown: in 2008 - 40.5% vs 64.3% for NSE 500Other Assets: Can invest in gold, bonds, international ETFs or cash based on market conditions and available opportunities",2500000,01/01/2003,873.89,160.66,129.4,115.67,73.07%,12.56%,6.64%,3.70%,0,"Founder of My Wealth Guide and a SEBI registered Research Analyst.Featured as Leading Top 100 Women in Finance in India. She believes in a bottoms up approach and follows Evidence-based Investing using Quantitative factors to eliminate human biases. Her forte is in equity research and she has over 17 years of experience in equity research across multiple economic and market cycles.&nbsp;Starting her career with McKinsey India gave her exposure to complex analytical frameworks and cutting edge tools. Thereafter during her 8-year stint at Rare Enterprises (which manages the $2bn proprietary portfolio of Mr. Rakesh Jhunjhunwala), she was involved in in-depth value creation studies for several portfolio companies. The entrepreneur bug bit and she co-founded HL Investrade which developed quantitative investment strategies for asset management using artificial intelligence algorithms. Her passion for making wealth creation more accessible led to founding My Wealth Guide.A management graduate from Sydenham College, she is amongst the first few women CFA charter holder in India."
Omni Super Assets - Multi-Asset Portfolio,"https://www.smallcase.com/smallcase/OMNMO_0007
",Omniscience Capital,All-Asset Portfolio for All-Season Investing,1Y,15.08,Low ,"A multi assets portfolio with 9 asset classes giving exposure to Indian Equities (large, mid and small caps), International Equities (US Flexicap &amp; US Tech), Gold, Fixed Income securities, Cash and Alternative Assets. Equities hold a predominant allocation which is well stabilized with significant allocations to low to negatively correlated assets thus reducing the portfolio volatility and making it suitable for first-time investors and investors seeking lower volatility. The regular rebalancing feature helps in automatic profit booking across asset classes.",500000,31/03/2017,184.91,187.19,133.3,126.67,13.12%,13.18%,5.84%,4.78%,0,"OmniScience (IITians | 40+yrs exp. | Global Equity Specialist) uses Scientific Investing to create SuperNormal Portfolios to ‘Enhance Safety, Enhance Returns’"
Long term Wealth Creation,"https://www.smallcase.com/smallcase/PLIAMO_0001
",Plutus Investment Advisors,"Stocks picked with a long term view, compounders",1Y,22.98,Low ,In this small case we pick stocks based on their long term growth potential. We look at the industry as well the company which can be the real differentiator in the space and create alpha compared to index.,66615,02/03/2021,NOT Available,NOT Available,NOT Available,NOT Available,NOT Available,NOT Available,NOT Available,NOT Available,0,Abhishek has experience of more than 15 years tracking Indian equity and debt market. He has understanding of multiple sectors which he has gained in previous employments.  His aim is to help people achieve financial independence through proper financial planning. He is a Chartered Accountant.   
Momentum Trending,"https://www.smallcase.com/smallcase/PLIAMO_0002
",Plutus Investment Advisors,"We select stocks based on share price momentum, volume and cross check it with fundamentals",1Y,15.15,Low ,In this smallcase we select up to 15 stocks based on price and volume momentum and cross check it with fundamentals. The rebalance happens every week. ,29050,02/03/2021,NOT Available,NOT Available,NOT Available,NOT Available,NOT Available,NOT Available,NOT Available,NOT Available,0,Abhishek has experience of more than 15 years tracking Indian equity and debt market. He has understanding of multiple sectors which he has gained in previous employments.  His aim is to help people achieve financial independence through proper financial planning. He is a Chartered Accountant.   
CJ:DK,"https://www.smallcase.com/smallcase/EHANM_0008
",Ethical Advisers,.,1Y,17.22,Medium ,.,175276,05/04/2017,243.9,185.34,133.18,126.61,19.61%,13.00%,5.84%,4.78%,0,"Dick Hosy Mody, a 30 year veteran in the Indian equity markets. Dick has a solid educational background,having held All India Merit Ranks in India Chartered Accountancy Exams,&amp; is a qualified Company Secretary).Over the past 3 decades, he has gained rich investing experience while based in global financial centres,including Mumbai, London, New York, San Francisco and Florida with top Global Investment banks including JP Morgan, Morgan Stanley, Deutsche and Raymond James, largely in his capacity as Head of Sales / Executive Director-North America,UK regions. His endeavour is to thus bring to clients; his extensive experience and knowledge, gained while personally acting as an advisor to some of the most respected Institutional asset managers across India, the US, UK, Asia and the Middle East."
SenSage i25,"https://www.smallcase.com/smallcase/SNGMO_0006
",SenSage,"25 Large Cap shariah-compliant stocks picked by Shabbir for HNIs and Trusts, Waqfs and NGOs.",1Y,6.76,Medium ,"SenSage i2525 liquid, investable, high quality growth stocks assigning almost equal weights to create a basket with an investment objective to achieve long term capital appreciation by investing in a diversified portfolio predominantly consisting of equity related securities of large cap companies.Investment objective is to achieve long term capital appreciation by investing in a diversified portfolio.This smallcase meets the basic stipulations as commonly agreed and approved by contemporary Shariah scholars across the globe and is approved by ShariahCap Advisors LLP.All investments will be withdrawn from the smallcase, which was shariah-compliant at the time of making investments but subsequently became Shariah non-compliant whether on business or financial parameters or both. Such investments will be withdrawn within 60 days of the company being declared Shariah non-compliant. The change will be made at the time of re-balancing and reason for exit of the company will be indicated with reason (i) Shariah Reason (SR) or (ii) Other Reason (OR).There is no expense ratio, no exit charges and fee are charged based on the assets of the client.Comparable with conventional Large Cap mutual funds.For full compliance with shariah law investors are required to purge the pro-rata portion of interest income accrued on their holding of shares in a company.&nbsp;",500000,09/03/2021,NOT Available,NOT Available,NOT Available,NOT Available,NOT Available,NOT Available,NOT Available,NOT Available,0,"Banker by ChanceAdviser by Choice&nbsp;Mr. Shabbir has been an accomplished banker with 35 years of insightful experience in the field of personal banking, investment banking, private banking and wealth management. The many feathers in his hat include being instrumental in the establishment of Expatiate Services Desks and International Relations Centre for major West Asian banks. He quit his lucrative banking job in Oman to start fee-based Wealth Management in 2006.&nbsp;Shabbir is an Activist for Interest-Free Banking and Advisor for Islamic Wealth Building in India who succeeded in persuading launch of India’s 1st Shariah-compliant Mutual Fund, namely Taurus Ethical Fund and Nippon India ETF Shariah BeES.&nbsp;He is open about his obsession with ethical investment and has initiated a project of setting up SIPs for poor orphans and Systematic Withdrawal Plans for pensioners using Zakat or charitable funds in a shariah-compliant mutual fund and is engaged in conducting financial literacy programs in Madrasas and the like.&nbsp;Mr. Shabbir is recognized and honored as “India’s Most Admired Financial Advisor” by White Page India for his valuable contribution to the capital market industry. ""I believe strongly in helping shift how people think of money - money is not a commodity by itself but a means of exchange"", says Shabbir."
Shariah ESG ,"https://www.smallcase.com/smallcase/SNGNM_0002
",SenSage,11 Large Cap ESG Sector Leaders shariah-compliant stocks,1Y,12.43,Medium ,"Shariah – ESG11Large Cap ESG Sector Leaders shariah-compliant stocksThis smallcase meets the basic stipulations as commonly agreed and approved by contemporary Shariah scholars across the globe and is approved by ShariahCap Advisors LLP.90% of investors think ESG portfolios perform as well or better than non-ESG. Portfolios that integrate environmental, social and governance factors are likely to&nbsp;perform&nbsp;as&nbsp;well&nbsp;or&nbsp;better than non-ESG investments, say 90% of institutional investors.All investments will be withdrawn from the smallcase, which was shariah-compliant at the time of making investments but subsequently became Shariah non-compliant whether on business or financial parameters or both. Such investments will be withdrawn within 60 days of the company being declared Shariah non-compliant. The change will be made at the time of re-balancing and reason for exit of the company will be indicated with reason (i) Shariah Reason (SR) or (ii) Other Reason (OR).Investment objective is long term appreciation.There is no expense ratio, no exit charges and fee are charged based on the assets of the client.Stringent financial ratiosComparable with conventional Large Cap mutual funds.For full compliance with shariah law investors are required to purge the pro-rata portion of interest income accrued on their holding of shares in a company.",200000,09/03/2021,NOT Available,NOT Available,NOT Available,NOT Available,NOT Available,NOT Available,NOT Available,NOT Available,0,"Banker by ChanceAdviser by Choice&nbsp;Mr. Shabbir has been an accomplished banker with 35 years of insightful experience in the field of personal banking, investment banking, private banking and wealth management. The many feathers in his hat include being instrumental in the establishment of Expatiate Services Desks and International Relations Centre for major West Asian banks. He quit his lucrative banking job in Oman to start fee-based Wealth Management in 2006.&nbsp;Shabbir is an Activist for Interest-Free Banking and Advisor for Islamic Wealth Building in India who succeeded in persuading launch of India’s 1st Shariah-compliant Mutual Fund, namely Taurus Ethical Fund and Nippon India ETF Shariah BeES.&nbsp;He is open about his obsession with ethical investment and has initiated a project of setting up SIPs for poor orphans and Systematic Withdrawal Plans for pensioners using Zakat or charitable funds in a shariah-compliant mutual fund and is engaged in conducting financial literacy programs in Madrasas and the like.&nbsp;Mr. Shabbir is recognized and honored as “India’s Most Admired Financial Advisor” by White Page India for his valuable contribution to the capital market industry. ""I believe strongly in helping shift how people think of money - money is not a commodity by itself but a means of exchange"", says Shabbir."
Zen Multicap Focused,"https://www.smallcase.com/smallcase/SWERMO_0006
",Zen Capital Equity Research,Up to 25 Multi-Cap Stocks with upside Momentum ,1Y,18.93,Low ,"A Focused portfolio of up to 25 stocks across various market caps having high momentum and which are out performing their respective indices.Ideal investment can be Rs. 2.5 Lakhs and above.The allocation will be dynamic across market caps depending on prevailing market condition.The idea is to pick the stocks of various marketcap that are out performing their respective indices over a period of time defined by our algorithm.The portfolio may invest a small portion in Gold ETF at times when Equity may be underperforming.At times when new momentum picks are not available the portfolio will sit in cash (in interest bearing instruments like LIQUID BEES).Every Month or as per market conditions, the portfolio is reviewed and stocks which do not hold up the momentum ranks are shelved while new ones enter.Strategy best suited for investors looking to create long term wealth by investing in opportunities across all market caps in order to take full advantage of market cycles.This portfolio is ideal for people looking to invest for a investment period of 3 years and above.",120000,17/04/2017,670.33,187.89,132.9,126.46,46.84%,13.40%,5.83%,4.79%,0,"We offer a professional stock research services on stocks from Bluechip, Mid, Small categories. The portfolios are created based on advanced technical analysis and our proprietary Momentum based strategies."
Zen Multicap Diversified,"https://www.smallcase.com/smallcase/SWERMO_0007
",Zen Capital Equity Research,Up to 50 Stocks Multi-Cap list with upside Momentum ,1Y,20.68,Low ,"A Well Diversified portfolio of up to 50 stocks across various market caps having high momentum and which are out performing their respective indices.Ideal investment can be Rs. 2 Lakhs and above.The allocation will be dynamic across market caps depending on prevailing market condition.The idea is to pick the stocks of various marketcap that are out performing their respective indices over a period of time defined by our algorithm.The portfolio may invest a small portion in Gold ETF at times when Equity may be underperforming.At times when new momentum picks are not available the portfolio will sit in cash (in interest bearing instruments like LIQUID BEES).Every Week or as per market conditions, the portfolio is reviewed and stocks which do not hold up the momentum ranks are shelved while new ones enter.Strategy best suited for investors looking to create long term wealth by investing in opportunities across all market caps in order to take full advantage of market cycles.This portfolio is ideal for people looking to invest for a investment period of 3 years and above.",150000,17/04/2017,481.35,187.89,132.9,126.46,37.35%,13.40%,5.83%,4.79%,0,"We offer a professional stock research services on stocks from Bluechip, Mid, Small categories. The portfolios are created based on advanced technical analysis and our proprietary Momentum based strategies."
Opportune Emerging Opportunities,"https://www.smallcase.com/smallcase/OPPMO_0001
",Opportune Wealth,Small steps to big returns!,1Y,16.23,Medium ,"At Opportune Wealth, our mission is to help our clients achieve their financial goals by recommending stocks that will steadily grow their capital over the next decade and beyond.Opportune Wealth- Emerging Opportunities Portfolio is driven by a fundamental analysis approach to finding quality companies that are ESG compliant, run by sound management, having strong moats, and available at fair valuations. The portfolio is focused on finding emerging winners in asset-light companies, having high earnings growth and strong cash-flows in industries such as Technology and IT, Banking and Financial Services, FMCG, Pharmaceuticals, and Healthcare.Our multi-cap investment strategy includes a concentrated portfolio providing us the right balance in terms of capital protection on the downside, and wealth creation on the upside.We stay invested in the same stock for several years to experience long-term capital appreciation through ‘compounding’. Our research methodology is based on four pillars:A. Select IndustriesB. Winning CompaniesC. Sound ManagementD. Fair Valuations",140543,19/03/2021,NOT Available,NOT Available,NOT Available,NOT Available,NOT Available,NOT Available,NOT Available,NOT Available,0,"With over 10 years of investing experience having worked in Venture Capital Space with Hyde Park Angels and Strategic Consulting with Monitor Group, Suruchi Jain founded Opportune Wealth Advisors Private Limited in May 2016. In four years of Opportune Wealth, Suruchi has been able to generate 15% returns on average for clients, post fees. Suruchi motivation behind her equity investing career was her meeting with Warren Buffet in February 2011 during an MBA Tour to Omaha, USA.&nbsp;As part of her work at Morningstar from 2012 to 2016, Suruchi often appeared on television channels and was frequently quoted in the press. Below are few links to her stock calls covered by the media. Coverage on CNBC TV18:<a href=""https://www.moneycontrol.com/news/business/earnings/cigarette-volume-flat-to-bit-negative-analystitc-q3-1334263.html"" rel=""noopener noreferrer"" target=""_blank"">https://www.moneycontrol.com/news/business/earnings/cigarette-volume-flat-to-bit-negative-analystitc-q3-1334263.htmlQuotes in Economic Times:<a href=""https://economictimes.indiatimes.com/topic/Suruchi-Jain"" rel=""noopener noreferrer"" target=""_blank"">https://economictimes.indiatimes.com/topic/Suruchi-Jain"
ActiveQuant Large Cap,"https://www.smallcase.com/smallcase/BRMOMO_0008
",BridgeMonte,A LargeCap portfolio aiming for market outperformance by selecting stocks with very high QPS scores,1Y,21.69,Low ,"ActiveQuant is an unbiased strategy that quantitatively selects the best portfolio to suit the market conditions once every quarter. The strategy selects the best fit basket of companies with the strongest combination of long-term quality and present-day momentum, within the market capitalization rank between 1 to 100.At the end of each quarter, as the latest changes in earnings and business outlook are announced by companies, a disproportionate change in valuation and momentum often occurs in the marketplace.The objective of the ActiveQuant Large Cap strategy is to take advantage of such fundamental mispricing of stocks vis-a-vis others and generate risk-adjusted outperformance over the benchmarks in the medium to long term.",46182,30/06/2009,1318.44,400.18,245.21,228.92,22.67%,11.42%,7.25%,6.67%,0,"A V Srikanth is a veteran in the Wealth Management and Investment Advisory space with over two decades of advisory experience spanning three market cycles since late 90's. He is a rare practitioner who has developing two unique advisory processes that are copyrighted.Prior to founding BridgeMonte Asset Advisors, AV Srikanth was the CEO of the Wealth Management business at Motilal Oswal and was earlier the Executive Director at Anand Rathi Wealth Management that won 5 back to back Advisory Awards in serving Ultra HNIs..In his experience he finds that the greatest hurdle to extraordinary wealth creation through equities, in one’s own lifetime is fairly simple...emotions. Over time he and his passionate team have developed simple and effective techniques to overcome emotions in the two critical areas of stock selection and market timing. Through a bouquet of managed strategies rooted in ActiveQuants, their singular aim is to help individual investors, irrespective of their size, create great wealth and preserve it against tough times and emotions."
